product,Reason,Quantity,Duration,Quality,Solution
edible water pods,plastics water bottles,20,1,first grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,10,2,first grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,5,3,first grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,7,3,third grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,15,2,third grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,5,1,third grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,15,2,third grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,20,2,third grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,13,2,first grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,17,2,first grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,12,1,first grade,calcium lactate or calcium chloride
edible water pods,plastics water bottles,18,1,first grade,calcium lactate or calcium chloride
straws,plastic straws,7,1,fist grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,3,3,second grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,14,3,third grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,15,3,third grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,19,3,third grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,16,1,third grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,20,1,second grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,10,3,second grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,12,2,second grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,9,1,second grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,4,3,second grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,11,3,fist grade,"Bacterial Cellulose, Rice, wheat, corn"
straws,plastic straws,19,2,second grade,"Bacterial Cellulose, Rice, wheat, corn"
cosmetics,toxic cosmetics,4,3,fist grade,"Hydrocolloids, Cellulose Gum, Sodium Stearoyl Lactylate"
cosmetics,toxic cosmetics,3,1,second grade,"Hydrocolloids, Cellulose Gum, Sodium Stearoyl Lactylate"
cosmetics,toxic cosmetics,2,1,third grade,"Hydrocolloids, Cellulose Gum, Sodium Stearoyl Lactylate"
cosmetics,toxic cosmetics,1,1,fist grade,"Hydrocolloids, Cellulose Gum, Sodium Stearoyl Lactylate"
cosmetics,toxic cosmetics,5,1,fist grade,"Hydrocolloids, Cellulose Gum, Sodium Stearoyl Lactylate"
cosmetics,toxic cosmetics,7,1,fist grade,"Hydrocolloids, Cellulose Gum, Sodium Stearoyl Lactylate"
cosmetics,toxic cosmetics,9,1,second grade,"Hydrocolloids, Cellulose Gum, Sodium Stearoyl Lactylate"
